comment_id,post_id,post_category,content,human1,llm_orig,human2,claude_4_7,claude_4_7_reason,claude_4_7_error,gpt_5_5,gpt_5_5_reason,gpt_5_5_error,gemini_3_1,gemini_3_1_reason,gemini_3_1_error
69e4573a000000001401a417,69e44278000000001a0217bb,成功|被超越者,您是生命的热烈，它是钢铁的进步[赞R],支持,支持,支持,支持,评论赞美机器人是钢铁的进步，表达了对机器人发展的肯定。,,支持,评论称机器人是“钢铁的进步”并配有点赞，体现了对机器人表现和技术进步的认可。,,支持,评论使用“钢铁的进步”和点赞表情积极评价了机器人的发展，展现了对人形机器人的赞赏与支持态度。,
69e47b6f000000001401940b,69e44278000000001a0217bb,成功|被超越者,你去超过它儿子[嘻嘻R],支持,中立,中立,中立,评论只是调侃让楼主去超过机器人的'儿子'，并未表达对人形机器人的明确支持或反对态度。,,中立,评论只是用玩笑语气调侃被机器人超过的情境，并未明确表达对 humanoid 机器人的支持或反对。,,中立,"```json
{""stance"": ""中立"", """,
69e5bf73000000001401940a,69e44278000000001a0217bb,成功|被超越者,“机器人超过我了”莫名想哭 感受到了一代一代的托举 是人和人之间 也是人和机器人之间,支持,支持,支持,支持,评论者被机器人超越自己的瞬间感动，表达了对人与机器人共同进步的正面情感。,,支持,评论将机器人超过人解读为代际托举和人机共同进步，情感上明显认可并支持 humanoid robots 的发展。,,支持,"```json
{""stance"": ""支持"", """,
69e47886000000001401b01e,69e44278000000001a0217bb,成功|被超越者,它是在看镜头么[坏笑R],中立,中立,中立,中立,评论只是调侃机器人是否在看镜头，并未表达对人形机器人的明确支持或反对态度。,,中立,评论只是调侃机器人是否在看镜头，没有表达对机器人表现或发展明确的支持或反对态度。,,中立,评论只是以调侃的语气询问机器人是否在看镜头，没有表达对人形机器人的明确支持或反对态度。,
69e4e3310000000014018809,69e44278000000001a0217bb,成功|被超越者,“多年以后，面对机器人，人类回想起了它在马拉松超过自己的瞬间”,中立,中立,中立,中立,评论以仿《百年孤独》开篇的文学化调侃描述机器人超越人类的瞬间，未明确表达支持或反对态度。,,中立,评论以文学化、调侃的方式描述机器人在马拉松中超过人类的瞬间，表达的是感慨和玩梗，并未明确支持或反对 humanoid robots。,,中立,"```json
{""stance"": ""中立"", """,
69e6f0dc000000001401d819,69e44278000000001a0217bb,成功|被超越者,你可能不知道，多年以后这个视频，将成为人类的回忆，第一次机器人在马拉松比赛超越人类，拍的太好了,支持,支持,支持,支持,评论者赞叹这一历史性时刻，认为视频珍贵，体现对机器人成就的肯定。,,支持,评论以具有历史意义和赞赏的语气看待机器人在马拉松中超越人类，表达了对机器人表现的认可。,,支持,"```json
{""stance"": ""支持"", ""reason",
69e4dd73000000001401c807,69e44278000000001a0217bb,成功|被超越者,绊它！,支持,反对,反对,反对,评论者说'绊它'，表达对机器人超越自己的不满和敌意，属于反对态度。,,反对,评论用“绊它”表达想阻止或破坏机器人比赛表现的态度，带有明显敌意。,,反对,"```json
{""stance"": ""反对"",",
69e499d3000000001401dc0b,69e44278000000001a0217bb,成功|被超越者,这个赛道人类认输，建议下回比比照顾老人全套,中立,中立,反对,中立,评论以调侃口吻承认机器人在赛道上胜出，并建议比试照顾老人，态度戏谑未明确支持或反对人形机器人。,,中立,评论承认机器人在跑步赛道上表现优于人类，但同时提出应比较照顾老人等实际应用能力，整体是调侃和审慎观望。,,中立,"```json
{""stance"": ""中立",
69e480d7000000001401e02e,69e44278000000001a0217bb,成功|被超越者,如果战场上，他拿个枪，就是个大麻烦,反对,反对,反对,反对,评论者担忧机器人若装备武器上战场将造成严重威胁，表达了对人形机器人的负面态度。,,反对,评论将机器人联想到战场持枪带来的威胁，表达了对其潜在危险和军事化应用的担忧。,,反对,"{
  ""stance"": ""反对"",",
69e47960000000001401e42c,69e44278000000001a0217bb,成功|被超越者,想到了以后万一被机器人追杀[捂脸R],反对,反对,反对,反对,评论者联想到未来可能被机器人追杀，表达了对机器人的担忧与负面态度。,,反对,评论将机器人跑得快联想到未来被机器人追杀，表达了对机器人潜在威胁的担忧和恐惧。,,反对,"```json
{""stance"": ""反对"",",
69e4647a000000001401bc13,69e44278000000001a0217bb,成功|被超越者,这个机器人在2。7公里处怼护栏上退赛,中立,中立,反对,反对,评论指出该机器人在2.7公里处撞护栏退赛，暗示其表现不佳，带有负面态度。,,反对,评论指出机器人在2.7公里处撞上护栏并退赛，强调其失败表现，整体态度偏负面。,,反对,"```json
{""stance"": ""反对"",",
69e455a90000000014019419,69e44278000000001a0217bb,成功|被超越者,你倒是快跑啊,中立,中立,反对,中立,评论只是调侃发帖人跑得慢，未表达对机器人的态度。,,中立,评论只是调侃被机器人超过的人“快跑”，未明确表达对 humanoid 机器人的支持或反对态度。,,中立,"```json
{""stance"": ""中立"",",
69e443c50000000014019c00,69e44278000000001a0217bb,成功|被超越者,机器人跑姿不错[偷笑R]我是热崩了,中立,中立,中立,支持,评论者称赞机器人的跑姿不错，体现出对机器人表现的肯定态度。,,支持,评论称赞机器人跑姿不错，并将自己被超过归因于天气炎热，整体对机器人表现持正面态度。,,支持,评论称赞机器人的跑姿不错，并以幽默自嘲的方式表达了对机器人表现的认可，整体态度积极。,
69e4859d0000000014018823,69e44278000000001a0217bb,成功|被超越者,若干年后[微笑R],反对,中立,反对,中立,评论仅以'若干年后'加微笑表情暗示未来变化，未明确表达支持或反对机器人的态度。,,中立,评论仅以“若干年后”暗示未来机器人可能会更强，并未明确表达支持或反对态度。,,中立,"```json
{""stance"": ""中立"",",
69e5c985000000001401cc14,69e44278000000001a0217bb,成功|被超越者,白活这么大了，连个机器人都跑不过,中立,中立,反对,中立,评论只是自嘲跑不过机器人，未明确表达对人形机器人的支持或反对态度。,,支持,"{""stance"":""支持"",""reason"":""评论用自嘲方式承认机器人跑步能力强、甚至",,中立,"```json
{""stance"": ""中立",
69e45b5d000000001401c403,69e44278000000001a0217bb,成功|被超越者,宇树机器人有实力的,支持,支持,支持,支持,评论肯定宇树机器人有实力，表达对人形机器人的认可。,,支持,评论称“宇树机器人有实力”，是在肯定机器人表现和能力。,,支持,评论称赞宇树机器人“有实力”，对机器人的表现表示认可和赞赏，属于支持态度。,
69e77aaa000000001401d816,69e44278000000001a0217bb,成功|被超越者,大叔看到中国的机器人超越了自己，有一种自豪感，荣誉感，开心的笑了,支持,支持,支持,支持,评论表达了对中国机器人超越自己的自豪和喜悦，明显持正面支持态度。,,支持,评论表达了看到中国机器人超越自己时的自豪感、荣誉感和开心，整体态度明显积极支持。,,支持,评论表达了对中国机器人超越人类的自豪感和荣誉感，态度积极且支持。,
69e4ca490000000014019807,69e44278000000001a0217bb,成功|被超越者,和机器人比的意义是什么，展示机器人很厉害？,反对,反对,反对,反对,评论质疑人与机器人比赛的意义，对机器人参赛的炫耀性展示表示不以为然。,,反对,评论质疑人与机器人比赛的意义，并带有讽刺机器人展示“很厉害”的意味，整体态度偏负面。,,反对,"```json
{""stance"": ""反对"", ""reason",
69e4b0000000000014019808,69e44278000000001a0217bb,成功|被超越者,博主一看就身心健康,中立,中立,中立,中立,评论只是夸博主身心健康，并未表达对机器人的态度。,,中立,评论只是评价博主“身心健康”，未直接表达对机器人表现或 humanoid robots 的支持或反对态度。,,中立,"```json
{""stance"": ""中立"",",
69e99c35000000001401cc17,69e44278000000001a0217bb,成功|被超越者,祂，毫無雜念，直接快跑⋯⋯跨進另一個，新的世代。,中立,支持,支持,支持,评论以崇敬的笔调描述机器人毫无杂念地迈入新世代，表达了对机器人发展的赞叹与肯定。,,支持,评论用带有敬意和赞叹的语气描述机器人专注快跑并迈入新时代，整体表达对其表现和发展前景的认可。,,支持,"```json
{""stance"": ""支持"", """,
69e58097000000001401b820,69e44278000000001a0217bb,成功|被超越者,现实版终结者啊,反对,中立,中立,中立,评论仅用终结者作比喻形容机器人，未明确表达支持或反对态度。,,反对,评论将机器人比作“现实版终结者”，带有对其强大和潜在威胁的担忧与负面联想。,,中立,"```json
{""stance"": ""中立"", """,
69e575390000000014019816,69e44278000000001a0217bb,成功|被超越者,老哥是没吃饱早饭吗？多吃两个馒头，超过它！[生气R],反对,中立,反对,中立,评论只是调侃博主跑不过机器人，未对机器人本身表达明确支持或反对态度。,,中立,评论主要是在调侃并鼓励发帖人多吃早饭去超过机器人，没有明确表达对 humanoid 机器人的支持或反对态度。,,反对,"```json
{""stance"": ""反对"", ""reason",
69e4ceae0000000014018c10,69e44278000000001a0217bb,成功|被超越者,这么一看，他跑的好快。,中立,支持,支持,支持,评论赞叹机器人跑得很快，表达了对机器人表现的肯定。,,支持,评论称机器人“跑的好快”，是在肯定其运动表现，整体态度积极。,,中立,"```json
{""stance"": ""中立",
69e4aa080000000014019010,69e44278000000001a0217bb,成功|被超越者,去超过这个[嘻嘻R],中立,支持,支持,中立,评论只是开玩笑让作者去超过机器人，未表达明确支持或反对态度。,,支持,评论用调侃语气鼓励机器人继续去超过别人，整体对机器人表现持积极、认可态度。,,中立,评论以调侃的语气鼓励他人去超越机器人，并未表达对人形机器人的明确支持或反对态度。,
69e49c81000000001401d411,69e44278000000001a0217bb,成功|被超越者,@小猪小猪胖乎乎 机器人打过来了,反对,中立,反对,中立,评论只是调侃机器人追上来了，未明确表达支持或反对态度。,,反对,评论用“机器人打过来了”将机器人表现描述成来袭或威胁，带有调侃但整体偏向警惕和负面态度。,,反对,"```json
{""stance"": ""反对"", """,
69e490fb000000001401e41c,69e44278000000001a0217bb,成功|被超越者,毕竟不费力，跑不过的[doge],中立,中立,中立,中立,评论只是调侃机器人不费力所以人跑不过，未明确表达支持或反对立场。,,中立,评论以调侃口吻指出机器人跑步不费力、人类难以跑过，并未明确表达支持或反对态度。,,,,
69e48ae4000000001401bc31,69e44278000000001a0217bb,成功|被超越者,哈哈 这镜头太可爱,支持,支持,中立,支持,评论称赞机器人超越的镜头可爱，表达了对机器人的喜爱和正面态度。,,支持,评论用“太可爱”表达了对机器人参赛并超越人的画面的喜爱和正面态度。,,支持,"```json
{
  ""stance"": ""支持"",
  ""reason"": ""评论者觉得机器人跑步的镜头“太可爱”，表达了对机器人的喜爱",
69e48935000000001401b81a,69e44278000000001a0217bb,成功|被超越者,头一回见被超过还这么高兴的[大笑R],中立,中立,中立,支持,评论以幽默正面的语气调侃楼主被机器人超越仍很高兴，隐含对机器人表现的认可。,,支持,评论以调侃和开心的语气回应机器人超过人类的场景，整体表现出轻松正面的态度。,,中立,"```json
{""stance"": ""中立"",",
69e4847f000000001401e836,69e44278000000001a0217bb,成功|被超越者,@少林寺实习美术生 这机器人不要命了,反对,中立,中立,中立,评论只是调侃机器人跑得太拼命，没有明确表达支持或反对态度。,,支持,评论用“不要命了”调侃机器人跑得非常快，带有惊讶和赞叹意味，并非反对。,,中立,"```json
{""stance"": ""中立",
69e47f83000000001401e014,69e44278000000001a0217bb,成功|被超越者,马拉松要被机器人取代了[doge],反对,反对,反对,中立,评论以调侃语气表达马拉松被机器人取代，未明确表达支持或反对态度。,,中立,评论用“[doge]”调侃机器人跑马拉松很快，表达的是玩笑式感叹，并未明确支持或反对 humanoid robots。,,中立,"```json
{
  ""stance"": ""中立"",
  ""reason"": ""评论使用“[doge]”表情以调侃的",
69e47e4a000000001401cc1c,69e4551e000000001f005895,成功|被超越者,哈哈哈哈从《我追一下》到《拜拜了您呐》只用了五秒[偷笑R][偷笑R],中立,支持,支持,支持,评论以幽默口吻调侃机器人表情生动，体现对荣耀机器人表现的欣赏和认可。,,支持,评论用调侃语气描述机器人迅速超越对手的表现，整体是在肯定其能力并表达欣赏。,,中立,"```json
{""stance"": ""中立",
69e48d160000000014018c1b,69e4551e000000001f005895,成功|被超越者,这玩意只要有电，能跑死你们人类,中立,支持,中立,支持,评论强调机器人只要有电就能跑赢人类，体现对人形机器人能力的肯定与赞叹。,,支持,评论用夸张语气强调机器人只要有电就能在人类无法比拟的耐力上胜出，体现出对其能力的认可。,,支持,"```json
{""stance"": ""支持"", ""reason",
69e47ba6000000001401e41e,69e4551e000000001f005895,成功|被超越者,跑的像章若楠跑,中立,中立,中立,中立,评论仅将机器人的跑姿比喻为章若楠，未表达对人形机器人的明确支持或反对态度。,,中立,评论只是用“像章若楠跑”来调侃或描述机器人的跑步姿态，没有明确表达支持或反对。,,中立,"```json
{""stance"": ""中立"", """,
69e499490000000014019c24,69e4551e000000001f005895,成功|被超越者,马拉松啊这还是,中立,支持,中立,中立,评论仅对比赛项目是马拉松表示惊讶或确认，未表达对人形机器人的明确态度。,,反对,评论用反问质疑机器人比赛是否还算马拉松，带有对其表现或赛事含金量的不认可。,,中立,"```json
{""stance"": ""中立",
69e490dd000000001401e423,69e4551e000000001f005895,成功|被超越者,宇树机器人成绩呢,中立,中立,中立,中立,评论仅询问宇树机器人的成绩，未表达对人形机器人的支持或反对态度。,,中立,评论只是询问宇树机器人的成绩情况，没有明显表达对 humanoid 机器人整体的支持或反对态度。,,支持,"```json
{""stance"": ""中立"", ""reason"": ""评论仅询问了另一个机器人品牌（宇树）的比赛成绩，没有表达对人形机器人的明确支持或反对",
69e48fe70000000014018c0f,69e4551e000000001f005895,成功|被超越者,机器人：碳基生物真是太菜了[偷笑R],中立,支持,中立,支持,评论以机器人口吻调侃碳基生物太菜，带有赞赏机器人表现优越的意味，整体倾向正面。,,支持,评论用拟人化调侃机器人嘲笑人类太弱，实际是在幽默地强调机器人表现强、赢得轻松，整体态度偏正面。,,,,
69e47e9c000000001401a007,69e4551e000000001f005895,成功|被超越者,坐着跑，还挺快[笑哭R],中立,中立,中立,支持,评论者以幽默语气称赞机器人坐着跑还很快，表达了对机器人表现的认可。,,支持,评论虽带调侃称其“坐着跑”，但强调“还挺快”，整体是在认可机器人的表现。,,中立,"```json
{""stance"": ""中立",
69e47f9e0000000014018803,69e4551e000000001f005895,成功|被超越者,没看清，这是多少配速,中立,中立,中立,中立,评论仅询问配速信息，未表达对人形机器人的态度。,,中立,评论只是询问机器人运动的配速，没有表达支持或反对态度。,,中立,评论仅询问机器人的跑步配速，没有表达对人形机器人的支持或反对态度。,
69e4848e000000001401cc2f,69e4551e000000001f005895,成功|被超越者,可以买个晚上陪跑吗？,支持,中立,中立,支持,评论者表达想购买机器人陪跑的兴趣，体现对人形机器人的正面认可。,,支持,评论者表达了想购买机器人用于夜晚陪跑的意愿，体现出对 humanoid 机器人的兴趣和认可。,,支持,"```json
{""stance"": ""支持"", ""reason"": ""评论者表达了购买机器人作为夜跑伴",
69e4c0ce000000001401980e,69e4551e000000001f005895,成功|被超越者,这玩意加个强化外壳，装上遥控炸药，想拦住不太容易呀[笑哭R],中立,反对,中立,中立,评论从军事用途角度联想机器人潜力，未明确表达支持或反对立场。,,反对,评论将机器人联想到加装炸药后难以阻拦的危险用途，表达了对其潜在危害的担忧和负面态度。,,中立,"```json
{""stance"": ""中立"",",
69e5aeb9000000001401a81c,69e4551e000000001f005895,成功|被超越者,这一车是程序员么,中立,中立,中立,中立,评论仅在询问车上是否都是程序员，未表达对人形机器人的明确态度。,,中立,评论只是用调侃的方式提问“这一车”是否是程序员，没有明确表达对 humanoid robots 的支持或反对态度。,,中立,"```json
{""stance"": ""中立"", ""reason"": ""评论仅是对视频中人物身份（程序员）的客观提问或调侃，未表达对",
69e49ce6000000001401b002,69e4551e000000001f005895,成功|被超越者,为科技进步自豪[赞R],支持,支持,支持,支持,评论者表达为科技进步感到自豪，明确支持机器人技术发展。,,支持,评论表达了对科技进步的自豪和赞赏，整体上支持 humanoid robots 的发展与表现。,,支持,评论者明确表达了对科技进步的自豪感，并使用了点赞表情，显示出对人形机器人发展的积极支持态度。,
69e47927000000001401b00b,69e4551e000000001f005895,成功|被超越者,真不敢想象五年后这种机器人比赛会牛逼成什么样子,支持,支持,支持,支持,评论者对机器人比赛的未来发展充满期待，表现出对人形机器人技术进步的积极态度。,,支持,评论者对未来机器人比赛的发展表示惊叹和期待，使用“牛逼”体现出积极认可态度。,,支持,"```json
{""stance"": ""支持"", ""reason"": ""评论使用“牛逼”一词",
69e48b36000000001401c808,69e4551e000000001f005895,成功|被超越者,这速度好像堪比电瓶车，估计有50-60码了,中立,支持,支持,支持,评论以电瓶车类比机器人速度，带有惊叹意味，整体偏向正面认可。,,支持,评论将机器人速度形容为堪比电瓶车、达到50-60码，体现出对其性能的惊讶和认可。,,中立,"```json
{""stance"": ""中立"", """,
