topic,top_terms,size
0,"机器人, 为什么, 服务, 外卖, 加油, 以为, 伺候, 三个, 云南白药, 个人, 是不是, 这些, 救护车, 人形, 低血糖",2954
1,"人, 三个, 机器, 伺候, 需要, 服务, 一样, 最后, 很多, 機器, 跟着, 还要, 控制, 补给, 一群",1249
2,"可爱, 真的, 小小的, 奶瓶, 小黑, 搞笑, 宝宝, 小孩, 小鼻嘎, 小机器人, 东西, 大湾, 起来, 果然, 小朋友",1111
3,"遥控, 玩具, 自主, 还要, 区别, 赛车, 需要, 导航, 智能, 今年, 控制, 大号, 人员, 有人, 1.2",679
4,"跑步, 姿势, 为了, 一样, 好像, 这样, 搞笑, 测试, 只是, 站不稳, 走路, 样子, 最后, 孩子, 摆臂",757
5,"降温, 冰块, 散热, 润滑, 干冰, 换电池, 关节, 还要, 电池, 后面, 喷雾, 电机, 加冰, 换电, 润滑剂",1510
6,"马拉松, 参加, 去年, 测试, 程序员, 电池, 为什么, 人形机器人, 今年, 开车, 干嘛, 续航, 为了, 工作人员, f1",901
7,"轮子, 为什么, 汽车, 更快, 赛车, 不行, 人形, 机器, 四个, 地形, 换成, 做成, 不用, 复杂, 是不是",1850
8,"跟着, 遥控器, 后面, 一起, 程序员, 工作人员, 一直, 工程师, 全程, 还要, 是不是, 控制, 人要, 个人, 有人",1071
9,"意义, 何在, 哪里, 东西, 评论, 这有, 活着, 知道, 这样, 机器人马拉松, 明白, 玩意, 存在, 战场, 汽车",936
10,"人类, 真的, 服务, 机器, 人形, 需要, 代替, 发展, 这样, 为了, 科技, 设计, ai, 未来, 工具",4409
11,"比赛, 赛车, 人形机器人, 去年, f1, 进步, 一样, 参加, 还要, 今年, 机器人马拉松, 搞笑, 这次, 要求, 摩托车",1405
