comment_id,帖子id,post_category,robot_status,human_role,content,topic
69e5c5ea000000001401d811,69e5a09a000000002103ba03,常态|观众,常态,观众,这机器有意识了？,1
69e5a9b6000000001401c404,69e5a09a000000002103ba03,常态|观众,常态,观众,感觉距离地球被机器人统治的日子不远了[偷笑R],3
69e5da93000000002d0228e9,69e5a09a000000002103ba03,常态|观众,常态,观众,它已经忘记了是来干嘛的了,0
69e6d763000000001401a411,69e5a09a000000002103ba03,常态|观众,常态,观众,它讨好型人机器人格[暗中观察R],1
69e5b3d3000000001401ac00,69e5a09a000000002103ba03,常态|观众,常态,观众,后台操作员按错了？[doge],2
69e5a5f2000000001401a816,69e5a09a000000002103ba03,常态|观众,常态,观众,这bgm是什么呀 有知道的嘛,0
69e62236000000001401b01b,69e5a09a000000002103ba03,常态|观众,常态,观众,他跳机械舞肯定无人能敌[暗中观察R],1
69e5d4c90000000014018c1b,69e5a09a000000002103ba03,常态|观众,常态,观众,人形机器人的优势，人类的工具，或者衣服鞋子裤子手套等，可以直接使用,1
69e5bbf8000000001401c824,69e5a09a000000002103ba03,常态|观众,常态,观众,名次不重要，被记住最重要[偷笑R],0
69e5be20000000001401dc06,69e5a09a000000002103ba03,常态|观众,常态,观众,一看就是不正经的赛手[doge],0
69e5cb9f0000000014019425,69e5a09a000000002103ba03,常态|观众,常态,观众,还即兴表演[汗颜R]这不写着遥控组嘛[汗颜R],2
69e5bc16000000001401dc01,69e5a09a000000002103ba03,常态|观众,常态,观众,只是表演了一下午蹈，幸亏不是翻过护栏施展暴力。[大笑R][大笑R],0
69e6b2360000000014018c02,69e5a09a000000002103ba03,常态|观众,常态,观众,后面保安笑而不语,2
69e61d390000000014018828,69e5a09a000000002103ba03,常态|观众,常态,观众,掀开看看是不是老蔡躲在里面 [doge],0
69e724ea000000001401c808,69e5a09a000000002103ba03,常态|观众,常态,观众,可怕的是，比我灵活多了，养老指日可待[偷笑R],4
69e61e07000000001401d420,69e5a09a000000002103ba03,常态|观众,常态,观众,紫色号牌是遥控的吧,2
69e64df40000000014019421,69e5a09a000000002103ba03,常态|观众,常态,观众,逐渐忘了自己来干嘛的[捂脸R]主打松弛[doge],0
69e5c920000000001401ac0d,69e5a09a000000002103ba03,常态|观众,常态,观众,084我记住你了，你很会嗨皮,0
69e5f9560000000014019c05,69e5a09a000000002103ba03,常态|观众,常态,观众,机器人中的显眼包,1
69e618450000000014019c0c,69e5a09a000000002103ba03,常态|观众,常态,观众,我先来：这有什么意义啊？一毛钱一条，美国佬记得打给我[黄金薯R],4
69e630d0000000001401c81e,69e5a09a000000002103ba03,常态|观众,常态,观众,我很想知道它最后有没有倒地[偷笑R],0
69e87ca2000000001401dc0a,69e5a09a000000002103ba03,常态|观众,常态,观众,机中鹿晗,1
69e5dc23000000001401dc0d,69e5a09a000000002103ba03,常态|观众,常态,观众,最后向佐附体[斜眼R][doge],0
69e6115a000000001401a407,69e5a09a000000002103ba03,常态|观众,常态,观众,再来一下前的的几步，好像这街的小鸡,0
69e61505000000001401b025,69e5a09a000000002103ba03,常态|观众,常态,观众,比春晚好看[大笑R],0
69e61c64000000001401e830,69e5a09a000000002103ba03,常态|观众,常态,观众,机器人里也有嘉豪,1
69e5ed89000000001401c825,69e5a09a000000002103ba03,常态|观众,常态,观众,有没有可能它突然意识到自己……的存在：我是谁，我在哪，我为什么要听你们人类的话,3
69e610ad0000000014019c07,69e5a09a000000002103ba03,常态|观众,常态,观众,请问他最后跑完了吗？,2
69e607ac000000001401d42d,69e5a09a000000002103ba03,常态|观众,常态,观众,遥控组 后台程序员小哥哥在炫技[doge],2
69e627f1000000001401cc2d,69e5a09a000000002103ba03,常态|观众,常态,观众,它适合popping,0
69e5f82f000000001401e414,69e5a09a000000002103ba03,常态|观众,常态,观众,快点学会做饭[偷笑R],6
69e5d28b000000001401e408,69e5a09a000000002103ba03,常态|观众,常态,观众,他应该是在等后面追赶的程序员吧[笑哭R],2
69e5a19a000000001401bc20,69e5a09a000000002103ba03,常态|观众,常态,观众,这个是遥控控制他表演的吧 他自己不会有思想吧,2
69e450da000000001401d82d,69e43a5a000000001d01dcc7,常态|观众,常态,观众,72的结局[偷笑R],0
69e45de8000000001401d809,69e43a5a000000001d01dcc7,常态|观众,常态,观众,虽然跑得慢，但架不住戏挺多的[笑哭R][笑哭R],0
69e43cee000000001401d430,69e43a5a000000001d01dcc7,常态|观众,常态,观众,我说他干嘛呢，后来才看见地上坐着一个[偷笑R]，看他这两步跑得跟喝多了似的，五十步笑百步呢[偷笑R][偷笑R][偷笑R],2
69e449a40000000014019013,69e43a5a000000001d01dcc7,常态|观众,常态,观众,上面刷过来，小鼻嘎出故障了他在旁边看热闹还鼓掌[笑哭R],0
69e459b9000000001401900d,69e43a5a000000001d01dcc7,常态|观众,常态,观众,鞋子啥牌子的[偷笑R],2
69e45e4a000000001401e817,69e43a5a000000001d01dcc7,常态|观众,常态,观众,他是真的好事，小派停下来的时候他也来看热闹了,0
69e46095000000001401a415,69e43a5a000000001d01dcc7,常态|观众,常态,观众,鼓掌是遥控的吗,2
69e442b50000000014019c22,69e43a5a000000001d01dcc7,常态|观众,常态,观众,程序猿有有趣的灵魂[派对R],1
69e8b22f000000001401c401,69e43a5a000000001d01dcc7,常态|观众,常态,观众,遥控的 没意思,2
69e464fe000000001401c034,69e43a5a000000001d01dcc7,常态|观众,常态,观众,这个蓝色的究竟是坐了多久,0
69e5a3e70000000014019c0e,69e43a5a000000001d01dcc7,常态|观众,常态,观众,有机器人负责比赛，有的负责社交[偷笑R],1
69e479ec000000001401c811,69e43a5a000000001d01dcc7,常态|观众,常态,观众,跑不过就整活是吧[doge],2
69e463f70000000014019428,69e43a5a000000001d01dcc7,常态|观众,常态,观众,能问下这个中途观赛位置是在哪里么？,0
