comment_id,帖子id,post_category,comment,hit_keywords,match_source,matched_snippet
69e2eaac000000001401e815,69e2583b00000000230211ea,失败|抢救者,不能用轮式吗？替代脚，上肢加大研发，早点进入家庭，洗衣做饭带娃伺候老人,替代,manual_keywords,不能用轮式吗？替代脚，上肢加大研发，早点进入家庭，洗衣做饭带娃伺候老人
69dc9de80000000002029fb1,69db34bb000000001a0348ae,失败|抢救者,我有救了，以后失业可以去抬坏机器人,失业,manual_keywords,我有救了，以后失业可以去抬坏机器人
69dca8e1000000003500b13d,69db34bb000000001a0348ae,失败|抢救者,@巫女有只猫 我以为机器人替代我们救人呢 害 刚想说看来我要失业了哈哈哈哈哈哈哈哈哈,替代|失业,manual_keywords|manual_keywords,@巫女有只猫 我以为机器人替代我们救人呢 害 刚想说看来我要失业了哈哈哈哈哈哈哈哈哈
69dc9ebd000000000d03425b,69db34bb000000001a0348ae,失败|抢救者,@春江无云 以后失业可以去给机器人充电[点赞R],失业,manual_keywords,@春江无云 以后失业可以去给机器人充电[点赞R]
69db957f000000000202b55f,69da7e87000000001a03484e,成功|观众,外卖员也是要被替代的节奏哦,替代,manual_keywords,外卖员也是要被替代的节奏哦
69db7282000000003501db42,69da7e87000000001a03484e,成功|观众,外卖小哥要失业了,失业,manual_keywords,外卖小哥要失业了
69db5cd400000000150065f5,69da7e87000000001a03484e,成功|观众,人形的意义是要替代人类吗？,替代,manual_keywords,人形的意义是要替代人类吗？
69db497a0000000016017912,69da7e87000000001a03484e,成功|观众,外卖员马上就要失业了,失业,manual_keywords,外卖员马上就要失业了
69db40770000000035022d7a,69da7e87000000001a03484e,成功|观众,完了，我送外卖的也要失业了,失业,manual_keywords,完了，我送外卖的也要失业了
69db354e0000000002028d12,69da7e87000000001a03484e,成功|观众,外卖小哥要失业了？？？？,失业,manual_keywords,外卖小哥要失业了？？？？
69db342f0000000016015929,69da7e87000000001a03484e,成功|观众,都这样了，会不会替代警察，然后电影《超能查派》就成真了...,替代,manual_keywords,都这样了，会不会替代警察，然后电影《超能查派》就成真了...
69db33df00000000140084a1,69da7e87000000001a03484e,成功|观众,有多少人正在失业的路上,失业,manual_keywords,有多少人正在失业的路上
69db285b000000000103da79,69da7e87000000001a03484e,成功|观众,加油！争取早日全面替代人类！让大部分人失业！让人类文明成为历史！,替代|失业,manual_keywords|manual_keywords,加油！争取早日全面替代人类！让大部分人失业！让人类文明成为历史！
69db224d0000000015008518,69da7e87000000001a03484e,成功|观众,外卖小哥：有没搞错？轮到我的失业期了？,失业,manual_keywords,外卖小哥：有没搞错？轮到我的失业期了？
69db1f8b0000000001007abd,69da7e87000000001a03484e,成功|观众,现在看到技术进步有多快了吧，，，过几年失业的人会更多[doge],失业,manual_keywords,现在看到技术进步有多快了吧，，，过几年失业的人会更多[doge]
69db1101000000000d034898,69da7e87000000001a03484e,成功|观众,再过两年外卖都得机器人送了，快递员全员失业。,失业,manual_keywords,再过两年外卖都得机器人送了，快递员全员失业。
69db07b70000000015008779,69da7e87000000001a03484e,成功|观众,完了，快递员要失业了，这家伙跑的快不说，该可以24小时无休！,失业,manual_keywords,完了，快递员要失业了，这家伙跑的快不说，该可以24小时无休！
69db057d0000000015008b10,69da7e87000000001a03484e,成功|观众,牛马要失业了,失业,manual_keywords,牛马要失业了
69db3b4c0000000035021c75,69da7e87000000001a03484e,成功|观众,开玩笑，让你们生，你们不生，不生是吧，我就弄机器人替代你们[得意R],替代,manual_keywords,开玩笑，让你们生，你们不生，不生是吧，我就弄机器人替代你们[得意R]
69db191f000000001400ba64,69da7e87000000001a03484e,成功|观众,跑马拉松有什么用 让他来我司替代铸造厂的工人啊 再不济电子厂打螺丝啊,替代,manual_keywords,跑马拉松有什么用 让他来我司替代铸造厂的工人啊 再不济电子厂打螺丝啊
69e94ce2000000001401e000,69e42cc100000000220001ad,弱势|观众,我真的很迷惑，机器人应用是用来表演扇子舞和跑马拉松吗？满屏的这种新闻，那是不是以后机器人还要去度假和旅行？这是什么奇葩社会引导？更应该展示的是机器人替代人去危险的领域工作，而不是在这搞哗众取宠的玩具,替代,manual_keywords,…，那是不是以后机器人还要去度假和旅行？这是什么奇葩社会引导？更应该展示的是机器人替代人去危险的领域工作，而不是在这搞哗众取宠的玩具
69e65b4f000000001401cc09,69e42cc100000000220001ad,弱势|观众,有何意义难道要替代人类吗？上战场去吧,替代,manual_keywords,有何意义难道要替代人类吗？上战场去吧
69e96798000000001401dc1b,69e47f8f000000001f007203,all,全民都在设计机器人 请问以后是想安排它们干什么 替代什么,替代,manual_keywords,全民都在设计机器人 请问以后是想安排它们干什么 替代什么
69e88be4000000001401d406,69e47f8f000000001f007203,all,这下失业的人更多了,失业,manual_keywords,这下失业的人更多了
69e5671b0000000014019401,69e47f8f000000001f007203,all,一个机器人后面跟一堆人类，所以说不可能替代人类的[笑哭R],替代,manual_keywords,一个机器人后面跟一堆人类，所以说不可能替代人类的[笑哭R]
69e5d9db000000001401bc2c,69e47f8f000000001f007203,all,快干活去吧 制造你们为了干活 不是跑马拉松的 人类高危职业 都还没被替代呢,替代,manual_keywords,快干活去吧 制造你们为了干活 不是跑马拉松的 人类高危职业 都还没被替代呢
69e49ee8000000001401a423,69e481e8000000002003ad94,强势|服务者,以后失业了，外卖都不能跑了？,失业,manual_keywords,以后失业了，外卖都不能跑了？
69e97d30000000001401c018,69e481e8000000002003ad94,强势|服务者,等机器人也用机器人维护那人类失业的就更多了,失业,manual_keywords,等机器人也用机器人维护那人类失业的就更多了
69edc89a000000002803ce38,69e481e8000000002003ad94,强势|服务者,估计这三人以后也会失业,失业,manual_keywords,估计这三人以后也会失业
69ec8cfc000000002900fabe,69e481e8000000002003ad94,强势|服务者,以后真的要被机器人替代了,替代,manual_keywords,以后真的要被机器人替代了
69e8710a0000000014019809,69e481e8000000002003ad94,强势|服务者,机器人应用替代不了人 没有人 它也没得用 机器人还不是人造出来的 不相信它自己做的。,替代,manual_keywords,机器人应用替代不了人 没有人 它也没得用 机器人还不是人造出来的 不相信它自己做的。
69e78a67000000001401d42d,69e481e8000000002003ad94,强势|服务者,中国企业研发的都是人形机器人。   [扶额R][扶额R]   它们应该替代的是特种作业，和艰难作业。而不是总想着替代普通人工，降低成本！！,替代,manual_keywords,中国企业研发的都是人形机器人。   [扶额R][扶额R]   它们应该替代的是特种作业，和艰难作业。而不是总想着替代普通人工，降低成本！！
69e774560000000014018c16,69e481e8000000002003ad94,强势|服务者,ok，取消奥运会[doge]已替代,替代,manual_keywords,ok，取消奥运会[doge]已替代
69e7044c000000001401c81e,69e481e8000000002003ad94,强势|服务者,你们的工作很快就要被这些机器替代了哈哈哈,替代,manual_keywords,你们的工作很快就要被这些机器替代了哈哈哈
69e6bb50000000001401cc04,69e481e8000000002003ad94,强势|服务者,你们就玩吧，人工智能吧！用不了多久全都得傻眼了。人全被替代了，可悲的变迁。,替代,manual_keywords,你们就玩吧，人工智能吧！用不了多久全都得傻眼了。人全被替代了，可悲的变迁。
69e64cd4000000001401c42b,69e481e8000000002003ad94,强势|服务者,不要害怕机器人让人类失业，你看一下吧，一个机器人需要十几个人类服侍。,失业,manual_keywords,不要害怕机器人让人类失业，你看一下吧，一个机器人需要十几个人类服侍。
69e63f020000000014019011,69e481e8000000002003ad94,强势|服务者,机器人暂时还替代不了人类，放心了[暗中观察R],替代,manual_keywords,机器人暂时还替代不了人类，放心了[暗中观察R]
69e5e256000000001401ac25,69e481e8000000002003ad94,强势|服务者,现在看着挺热闹，等失业的时候大家一起哭吧！,失业,manual_keywords,现在看着挺热闹，等失业的时候大家一起哭吧！
69e59962000000001401a41d,69e481e8000000002003ad94,强势|服务者,一个跑步机器人配3个小伙子，再也不怕失业了[失望R],失业,manual_keywords,一个跑步机器人配3个小伙子，再也不怕失业了[失望R]
69e58da6000000001401dc0a,69e481e8000000002003ad94,强势|服务者,三个人伺候1个人，这就放心了，不可能替代人类了,替代,manual_keywords,三个人伺候1个人，这就放心了，不可能替代人类了
69e58b9c000000001401d803,69e481e8000000002003ad94,强势|服务者,以后越来越多人失业咯,失业,manual_keywords,以后越来越多人失业咯
69e57fbb0000000014019007,69e481e8000000002003ad94,强势|服务者,离失业更进一步,失业,manual_keywords,离失业更进一步
69e56cd1000000001401dc14,69e481e8000000002003ad94,强势|服务者,嘿嘿，一个机器人干活三个人在后面保障，以后不怕失业了,失业,manual_keywords,嘿嘿，一个机器人干活三个人在后面保障，以后不怕失业了
69e56beb0000000014019803,69e481e8000000002003ad94,强势|服务者,我以为机器人出来了以后，会有大量人失业。没想到机器人是来创造就业的。一个机器人跑，后面四个人伺候着[飞吻R],失业,manual_keywords,我以为机器人出来了以后，会有大量人失业。没想到机器人是来创造就业的。一个机器人跑，后面四个人伺候着[飞吻R]
69e52d03000000001401d401,69e481e8000000002003ad94,强势|服务者,人类不会失业……机器人需要人类服务[赞R],失业,manual_keywords,人类不会失业……机器人需要人类服务[赞R]
