comment_id,exclude_reason,content
69e47886000000001401b01e,effective_tokens_lt_min,它是在看镜头么[坏笑R]
69e596ed000000001401a41e,effective_tokens_lt_min,闪电呢？
69e4dd73000000001401c807,empty_or_too_short,绊它！
69e46287000000001401cc26,effective_tokens_lt_min,是宇树的吗？
69e455a90000000014019419,effective_tokens_lt_min,你倒是快跑啊
69e4859d0000000014018823,effective_tokens_lt_min,若干年后[微笑R]
69e76a670000000014019400,effective_tokens_lt_min,甚至他看都不看你[笑哭R]
69e73468000000001401d828,effective_tokens_lt_min,哇，好快
69e72f350000000014019004,effective_tokens_lt_min,厉害[点赞R][点赞R][点赞R]
69eb481e000000002902d289,effective_tokens_lt_min,快跑，他快没电了
69e62b19000000001401a81f,effective_tokens_lt_min,昨天看到您了[偷笑R]
69e67a7f000000001401bc02,empty_or_too_short,羡慕你
69eb4b05000000002203d034,effective_tokens_lt_min,牛啊牛啊，感觉体格都比我好[惊恐R]
69e5e56e0000000014019803,effective_tokens_lt_min,它还看了你一眼
69e5b31f000000001401e008,effective_tokens_lt_min,一个猝不及防就被超了[抽泣R]
69e591a3000000001401a408,empty_or_too_short,/e/
69e580d6000000001401a803,empty_or_too_short,快跑
69e5156c000000001401cc10,effective_tokens_lt_min,跑的贼快笑死[捂脸R][笑哭R]
69e4e352000000001401981e,empty_or_too_short,太强了
69e4d97e000000001401e800,effective_tokens_lt_min,哈哈哈哈哈，机器人这么快
69e4d02b0000000014018c1d,empty_or_too_short,斩杀线
69e4ceae0000000014018c10,effective_tokens_lt_min,这么一看，他跑的好快。
69e4c1a1000000001401c430,effective_tokens_lt_min,把“过”去掉
69e4b33f0000000014018826,effective_tokens_lt_min,这个跑到真好看
69e4ac2b0000000014019c01,effective_tokens_lt_min,给他浇点水
69e4aa080000000014019010,effective_tokens_lt_min,去超过这个[嘻嘻R]
69e49cc9000000001401a004,effective_tokens_lt_min,用什么拍的
69e49cb5000000001401c80d,effective_tokens_lt_min,这给你高兴的
69e497b9000000001401c001,effective_tokens_lt_min,拉爆它[汗颜R]
69e4840b000000001401c022,effective_tokens_lt_min,他好像还在看你
69e482b7000000001401cc07,effective_tokens_lt_min,太帅了[赞R][赞R]
69e47ed0000000001401b00f,effective_tokens_lt_min,《天网》
69e475f2000000001401d814,effective_tokens_lt_min,好厉害[笑哭R]
69e466de0000000014018c12,effective_tokens_lt_min,机器人怎么你了[满月R]
69e8231e000000001401b00f,effective_tokens_lt_min,哈哈哈[捂脸R]
69e55ae80000000014019c02,empty_or_too_short,哈哈，
69e48e40000000001401e006,effective_tokens_lt_min,这么快😱
69e499490000000014019c24,effective_tokens_lt_min,马拉松啊这还是
69e4bc17000000001401d42f,effective_tokens_lt_min,哈哈哈，这么多人陪跑吗[笑哭R]
69e4bac0000000001401b001,effective_tokens_lt_min,这是灵缇吗 哈哈哈哈哈哈
69e47e9c000000001401a007,effective_tokens_lt_min,坐着跑，还挺快[笑哭R]
69e4589d000000001401cc0c,effective_tokens_lt_min,笑死哈哈哈哈哈哈哈你追了吗
69e4857a000000001401b831,effective_tokens_lt_min,5年后：
69e48f20000000001401bc1d,effective_tokens_lt_min,哈哈哈哈哈 好快啊
69e49844000000001401881c,effective_tokens_lt_min,这也太快了
69e48d47000000001401e838,effective_tokens_lt_min,主播手挺稳啊[doge]
69e483810000000014018c11,effective_tokens_lt_min,哇晒 这个跑得快
69e4855a000000001401882d,effective_tokens_lt_min,这追的上吗
69e4a575000000001401b009,empty_or_too_short,太快了
69e49f59000000001401ac18,effective_tokens_lt_min,这叫风驰电掣吧[笑哭R]
69e49db5000000001401e405,effective_tokens_lt_min,跑这么快是要去干啥呢[笑哭R]
69e49d1f000000001401cc12,effective_tokens_lt_min,好快[汗颜R]
69e49c5d000000001401a004,effective_tokens_lt_min,我擦，它怎么能跑怎么快[doge]
69e49c3a000000001401a405,empty_or_too_short,这么快
69e49956000000001401dc0f,effective_tokens_lt_min,又快又稳哇
69e48414000000001401cc13,effective_tokens_lt_min,拜拜了您内
69e4817c000000001401dc2a,effective_tokens_lt_min,这么快[点赞R]
69e47baa000000001401d827,effective_tokens_lt_min,比人快[点赞R][点赞R]
69e46bb70000000014019c1d,effective_tokens_lt_min,有意思[笑哭R]
69e9ac94000000001401b809,effective_tokens_lt_min,国际象棋
69e85f2f000000002b02b983,effective_tokens_lt_min,去你的全马梦
69e48890000000001401a406,effective_tokens_lt_min,哈哈哈哈哈[马上转运][马上转运][马上转运][马上转运]
69e461fb000000001401e82b,effective_tokens_lt_min,咋的？低血糖了？
69e459f2000000001401bc38,effective_tokens_lt_min,小的还拿了个奶瓶🍼[捂脸R]
69e480b4000000001401c425,effective_tokens_lt_min,大的把小的抱着走，会不会流量更多！[大笑R]
69e4807c0000000014019416,effective_tokens_lt_min,犯病了感觉[捂脸R]
69e48078000000001401880e,effective_tokens_lt_min,老了不中用了[捂脸R]
69e4802b000000001401e423,effective_tokens_lt_min,这个小的，挺好，跑直线还稳
69e4800f000000001401cc29,effective_tokens_lt_min,老的老，小的小，躺的躺[偷笑R]
69e48005000000001401c409,effective_tokens_lt_min,坐着这个被抛弃了吗？[笑哭R]
69e47fb9000000001401a82d,effective_tokens_lt_min,小的还拿个奶瓶
69e47f9d0000000014019820,effective_tokens_lt_min,太可爱了
69e47f930000000014018821,effective_tokens_lt_min,哈哈哈哈哈哈哈哈哈哈好搞笑
69e47f3d000000001401b80b,effective_tokens_lt_min,地上咋还有一个哈哈哈
69e47e84000000001401d420,effective_tokens_lt_min,还真有人去看啊
69e47e7d000000001401d816,effective_tokens_lt_min,坐着那个经典[笑哭R]
69e47e210000000014018c1b,effective_tokens_lt_min,像以后我带娃的样子
69e47d820000000014019c17,effective_tokens_lt_min,怎么没人扶啊，怕被讹吗[doge]
69e47d77000000001401e02d,effective_tokens_lt_min,笑死[笑哭R]
69e47d76000000001401b016,effective_tokens_lt_min,感觉看到了鲁班
69e47d6f0000000014019426,effective_tokens_lt_min,小的咋还带着奶瓶就出来了
69e47d160000000014018c1e,effective_tokens_lt_min,内小孩儿
69e47d01000000001401d81e,effective_tokens_lt_min,小的跑的好搞笑[笑哭R]
69e47ce6000000001401d818,empty_or_too_short,笑死了
69e47c65000000001401b816,effective_tokens_lt_min,大的还穿了双耐克[笑哭R][笑哭R][笑哭R]
69e47c04000000001401bc37,effective_tokens_lt_min,撒呓正了是咋的
69e47bd5000000001401dc40,empty_or_too_short,哈哈哈
69e47bc8000000001401c411,effective_tokens_lt_min,哈哈哈哈哈哈哈哈哈哈太逗了
69e47b51000000001401a424,effective_tokens_lt_min,笑死我了它咋坐路边了
69e47b3d0000000014018c14,effective_tokens_lt_min,今天还有吗
69e479fd0000000014019402,effective_tokens_lt_min,坐地上这个什么鬼[笑哭R]
69e4795e000000001401b833,effective_tokens_lt_min,上一个刚刷到
69e47926000000001401c42b,effective_tokens_lt_min,祖孙三代[捂脸R]
69e479010000000014018c0a,effective_tokens_lt_min,小鲁班吧
69e478b0000000001401e028,effective_tokens_lt_min,这个坐着的咋地了  歇够了吗？
69e4785f000000001401b028,effective_tokens_lt_min,它坐那干啥呢
69e4784d000000001401cc09,effective_tokens_lt_min,你这配音我听笑了
69e47824000000001401b811,effective_tokens_lt_min,跑蹦了跑蹦了
69e477c80000000014018c16,effective_tokens_lt_min,所以，机器人也会累[捂脸R]
69e477c6000000001401d821,duplicate_text,龟兔赛跑
69e477ad000000001401a007,effective_tokens_lt_min,老弱病残
69e4779f0000000014019c21,effective_tokens_lt_min,这都是骗补贴的吧
69e4775a000000001401b805,effective_tokens_lt_min,还缠了胶带
69e47724000000001401d41e,effective_tokens_lt_min,救护车🚑呢？
69e47720000000001401c010,effective_tokens_lt_min,还穿双运动鞋
69e477070000000014019413,duplicate_text,镜头语言
69e476eb000000001401e014,effective_tokens_lt_min,毫无意义
69e476d2000000001401dc1a,effective_tokens_lt_min,真的是钱多吗....
69e476c3000000001401e43f,empty_or_too_short,范小勤
69e4768b000000001401dc25,effective_tokens_lt_min,大的鞋怎么是耐克
69e475e4000000001401dc4e,empty_or_too_short,跑累了
69e475ce000000002b03644d,effective_tokens_lt_min,奶瓶俠好可愛[笑哭R]
69e475c60000000014019c1e,effective_tokens_lt_min,疲劳了[doge]
69e47548000000001401bc0b,effective_tokens_lt_min,小的那个好可爱
69e4752c0000000014019816,effective_tokens_lt_min,走的那个还穿个运动鞋[笑哭R]
69e47503000000001401e427,empty_or_too_short,渗人
69e474ee000000001401980b,effective_tokens_lt_min,哈哈，笑死了
69e474b0000000001401b808,effective_tokens_lt_min,看前半段：废的在哪
69e473f30000000014018c21,effective_tokens_lt_min,这是在跑机器人马拉松呢？
69e473e1000000001401dc21,duplicate_text,现在我看着它们趔趔趄趄，以后老了走不动路它们扛着我健步如飞吧
69e473df000000001401c819,effective_tokens_lt_min,小机器人还乖也
69e473cc0000000014018c26,effective_tokens_lt_min,缺氧[笑哭R]
69e4738e000000001401ac0d,effective_tokens_lt_min,小的太可爱了
69e4738a000000001401c83e,effective_tokens_lt_min,这个小的还行哈
69e47384000000001401e011,effective_tokens_lt_min,这是拿了个奶瓶？
69e473710000000014019c23,effective_tokens_lt_min,小的好可爱
69e47349000000001401d42a,effective_tokens_lt_min,怎么这里还坐着一个
69e4733e000000001401c01c,effective_tokens_lt_min,低血糖了[捂脸R]
69e472a6000000001401a81f,effective_tokens_lt_min,都是遥控器
69e472a5000000001401940a,effective_tokens_lt_min,小的还挺可爱
