topic_id,sample_rank,sample_source,comment_id,帖子id,comment_level,like_count,reply_count,robot_status,human_role,content
0,1,top_like,69e95d3a000000001401e80b,69e46032000000001f002048,2,1346.0,,常态,保护者,不早了，都会跑了马上就了追着揍了。
0,2,top_like,69e72548000000001401a811,69e6f2bc0000000023005345,2,1051.0,,弱势,观众,[哭惹R]跑的太慢了组委会让我们中止了
0,3,top_like,69e464590000000014019403,69e447d2000000001d01aa01,2,590.0,,强势,服务者,就是一个象征，能跑马拉松就能追到在嫌疑人[大笑R]真要追问意义，人跑马拉松也没意义，不如田里耕地[大笑R]
0,4,cross_post,69e62ab2000000001401a00d,69e59e520000000022027a90,2,281.0,,弱势,观众,它认真的跑，所以不搞笑
0,5,cross_post,69e439f9000000001401c426,69e42cc100000000220001ad,2,246.0,,弱势,观众,并没有，20分钟前刚看到舒服的坐在车后座过去了[笑哭R]
0,6,cross_post,69e0264c0000000035009c8f,69df625d0000000021005c63,2,201.0,,失败,观众,你蹲着跑马拉松看看裁判会罚你吗？
0,7,cross_post,69e4ac77000000001401cc02,69e48d54000000002102e178,2,194.0,,弱势,保护者,不不，走的挺慢的，这是起点两公里的地方
0,8,random,69e72161000000001401d425,69e6f2bc0000000023005345,2,7.0,,弱势,观众,这就是人家参加马拉松的意义[笑哭R]
0,9,random,69e47241000000001401c808,69e44171000000001a026b25,2,26.0,,混合,观众,不是跑的慢，是故意慢下来整活儿吧[笑哭R]
0,10,random,69e557b9000000001401c401,69e481e8000000002003ad94,2,0.0,,强势,服务者,要跟着跑，必须年轻呀，你去跑估计要心梗[笑哭R]
1,1,top_like,69e43d3b0000000014019029,69e429b4000000001b00037a,2,552.0,,常态,观众,遥控组作为底层，就是来整活的，毕竟也只能干整活[捂脸R]
1,2,top_like,69e5e313000000001401e816,69e59e520000000022027a90,2,344.0,,弱势,观众,看号码布，遥控的
1,3,top_like,69e5e1d7000000001401c82d,69e59e520000000022027a90,2,288.0,,弱势,观众,拍手这是有人遥控，还是自主设定的反应？
1,4,cross_post,69e4c75a000000001401a823,69e4b08d000000001d01c1bc,2,285.0,,混合,观众,48分钟那个是遥控的，50分的是自主的，48分的要乘1.2的系数就不是冠军了
1,5,cross_post,69df98ff00000000350314d0,69df625d0000000021005c63,2,251.0,,失败,观众,都有，遥控的话最后时间要乘以1.2
1,6,cross_post,69e653090000000014013c01,69e634590000000022003bb5,2,197.0,,常态,观众,是的 我们的遥控器只用来控速
1,7,cross_post,69e5b1e0000000001401ac13,69e463df000000001b003017,2,118.0,,强势,服务者,遥控的要加时间，加权后才是最终成绩
1,8,random,69e48fcf000000001401a81b,69e481e8000000002003ad94,2,3.0,,强势,服务者,分组，有的自动有的需要控制
1,9,random,69e4a452000000001401b010,69e481e8000000002003ad94,2,0.0,,强势,服务者,他的意思说，不用遥控用AI摄像头识别，自己跑。
1,10,random,69e60561000000001401d82c,69e59e520000000022027a90,2,9.0,,弱势,观众,我知道这个拍手的是遥控，我是说这比赛有自主机器人参加
2,1,top_like,69e46025000000001401dc38,69e4426b000000001d01c7ed,2,2132.0,,混合,观众,这是人形机器人，你说的那种是另一种机器人。
2,2,top_like,69e492de000000001401d809,69e481e8000000002003ad94,2,907.0,,强势,服务者,因为人形可以和人本身结合起来，他可以用人的装备，人的武器，人也可以用他们的
