path,exists,bytes
corpus_freeze.json,True,2101
hdbscan_candidate_summary.csv,True,719
topic_number_cv_curve.csv,True,2443
topic_number_cv_curve.png,True,96884
topic_number_candidate_diagnostics.csv,True,2443
topic_number_selection_notes.md,True,538
final_model_selection.json,True,715
topic_review_sheet_final_nr90.csv,True,380089
topic_post_diagnostics_final_nr90.csv,True,20598
coder1_sheet_final_nr90.csv,True,164450
coder2_sheet_final_nr90.csv,True,164450
topic_comment_samples_final_nr90.csv,True,128514
topic_coding_codebook.md,True,1294
adjudication_guide.md,True,1168
final_topic_map_template.csv,True,22066
purity_validation_sample.csv,True,163529
high_risk_topics_final_nr90.csv,True,288547
METHODS.md,True,2589
REPRO.md,True,2075
sensitivity/adjacent_topic_number_comparison.csv,True,796
sensitivity/outlier_raw_vs_assigned.csv,True,117
sensitivity/high_post_dominance_topics.csv,True,287156
sensitivity/hdbscan_mcs_sensitivity_summary.csv,True,719
final_model/topics_final.csv,True,50129
final_model/doc_topics_final.csv,True,2289914
