topic_id,sample_rank,sample_source,comment_id,帖子id,comment_level,like_count,reply_count,robot_status,human_role,content
0,1,top_like,69e5ea0f000000001401cc18,69e59e520000000022027a90,2,787.0,,弱势,观众,遥控的，主要是程序员太逗了[笑哭R]
0,2,top_like,69e43d3b0000000014019029,69e429b4000000001b00037a,2,552.0,,常态,观众,遥控组作为底层，就是来整活的，毕竟也只能干整活[捂脸R]
0,3,top_like,69e45fef000000001401ac23,69e4426b000000001d01c7ed,2,426.0,,混合,观众,那直接放遥控汽车不就起飞了。
0,4,cross_post,69e4c75a000000001401a823,69e4b08d000000001d01c1bc,2,285.0,,混合,观众,48分钟那个是遥控的，50分的是自主的，48分的要乘1.2的系数就不是冠军了
0,5,cross_post,69df98ff00000000350314d0,69df625d0000000021005c63,2,251.0,,失败,观众,都有，遥控的话最后时间要乘以1.2
0,6,cross_post,69e65240000000001401900c,69e634590000000022003bb5,1,249.0,2.0,常态,观众,居然是蓝标，自主不是遥控，棒极了
0,7,cross_post,69e5b1e0000000001401ac13,69e463df000000001b003017,2,118.0,,强势,服务者,遥控的要加时间，加权后才是最终成绩
0,8,random,69e4dbdf000000001401e827,69e45dbe000000001f00434f,2,12.0,,强势,观众,夺冠的前三名都是自主的
0,9,random,69e4a34e000000001401dc12,69e481e8000000002003ad94,2,0.0,,强势,服务者,你说的难道是遥控车[笑哭R][笑哭R]
0,10,random,69e5d4f5000000001401c832,69e47f8f000000001f007203,1,0.0,0.0,混合,观众,拿遥控器在后面遥控说智能机器人？？？。
1,1,top_like,69e6fadf000000001401d428,69e634590000000022003bb5,1,2076.0,8.0,常态,观众,原来是你们团队叫加速进化，我看到你们机器人上贴这个以为是你们的机器人要加速进化了[石化R][石化R][石化R]
1,2,top_like,69e4a930000000001401a020,69e48341000000001a02d0c4,1,927.0,85.0,强势,观众,我已经预见到我老了将会有一个人形机器人推着轮椅带着伞啊外套啊保温壶、小点心、我的降压药什么的，陪我去公园散步。根本不敢指望我儿子
1,3,top_like,69e4b81d000000001401c836,69e48d54000000002102e178,2,634.0,,弱势,保护者,这小机器人坐得略显拘谨啊[笑哭R]
1,4,cross_post,69e55e7b000000001401e40c,69e47f8f000000001f007203,2,634.0,,混合,观众,机器人也是人[大笑R]
1,5,cross_post,69e2f5010000000014019417,69e2583b00000000230211ea,2,558.0,,失败,抢救者,这个我觉得是真实视频，因为看见过其他视角的。这跟机器人材质和重量有关吧，我觉得这个程度摔一下还是可能会碎的
1,6,cross_post,69e45a6c000000001401a412,69e447d2000000001d01aa01,2,402.0,,强势,服务者,[扶墙R][扶墙R]机器人现在就有自己想法了吗，好高级[扶墙R]
1,7,cross_post,69dcbf41000000000203506c,69db34bb000000001a0348ae,1,359.0,17.0,失败,抢救者,机器人老了可怎么办[doge]
1,8,random,69e4a296000000001401dc0a,69e481e8000000002003ad94,1,11.0,3.0,强势,服务者,機器人也會肌肉酸痛[doge]
1,9,random,69e4d0f5000000001401a821,69e48341000000001a02d0c4,1,0.0,0.0,强势,观众,[色色R][色色R][色色R]反正我就是觉得，拿🍼那个小机器人宝宝真的好可爱鸭[色色R][色色R][色色R]
1,10,random,69e598c6000000001401cc16,69e48d54000000002102e178,2,1.0,,弱势,保护者,这个机器人像被大哥绑架了，动也不敢动[笑哭R]
2,1,top_like,69e84511000000001401a01c,69e46032000000001f002048,1,4457.0,83.0,常态,保护者,你不跑有的是机器人愿意跑
2,2,top_like,69dfb3290000000002035b6b,69df625d0000000021005c63,1,4172.0,78.0,失败,观众,大家娱乐一下哈，视频里只放了一些“精彩”画面配解说，其实还有更多的机器人是跑的又稳又快的[害羞R]
2,3,top_like,69e4da0f000000001401d820,69e4b08d000000001d01c1bc,1,1807.0,66.0,混合,观众,emm……马拉松的意义不是锻炼身体和耐力么，机器人真的需要这个吗
2,4,cross_post,69e41e73000000001401980a,69e40352000000002102fc75,1,893.0,43.0,常态,服务者,这不叫机器人大赛，应更名叫仿生人马拉松。因为机器人要快，它就不用人类的跑步方式，更是换上高速引挺滑轮，看谁快。只有仿生人才会这样。无论那一种，都是人类科学的进步，加油加油！
2,5,cross_post,69e51440000000001401c00b,69e47f8f000000001f007203,1,715.0,70.0,混合,观众,从这个机器人的跑步姿势上看出了性别[笑哭R][笑哭R][笑哭R][笑哭R]
2,6,cross_post,69e6cc1d000000001401c007,69e634590000000022003bb5,2,438.0,,常态,观众,真的~看着机器人在前面跑，怎么不像自己的孩子在赛道拼搏。能站在跑道上大家都是第一名！！
2,7,cross_post,69e4b1fa000000001401c82c,69e48341000000001a02d0c4,2,251.0,,强势,观众,现在迭代这么快，应该十年内就能实现。上一届机器人马拉松这群玩意儿还是连滚带爬的，一年就超过人类了。
2,8,random,69e579e6000000001401e810,69e481e8000000002003ad94,1,0.0,0.0,强势,服务者,好了，以后跑马拉松就用机器人代替了
